rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
479,2,"Wagon Master",1950,http://www.icheckmovies.com/movies/wagon+master/,1201,61,9,6,247,,http://www.imdb.com/title/tt0043117/,no,no,no,no,no
480,36,Oldeuboi,2003,http://www.icheckmovies.com/movies/oldeuboi/,46299,6639,340,34,1371,Oldboy,http://www.imdb.com/title/tt0364569/,"2012-03-14 22:10:26",yes,no,no,no
481,-17,"Paris Is Burning",1990,http://www.icheckmovies.com/movies/paris+is+burning/,2703,318,10,12,390,,http://www.imdb.com/title/tt0100332/,no,no,no,no,no
482,-4,"High Noon",1952,http://www.icheckmovies.com/movies/high+noon/,15183,1087,84,18,921,,http://www.imdb.com/title/tt0044706/,"2012-03-14 22:10:06",yes,no,no,no
483,21,"To Kill a Mockingbird",1962,http://www.icheckmovies.com/movies/to+kill+a+mockingbird/,50836,3227,198,18,1035,,http://www.imdb.com/title/tt0056592/,"2012-03-14 22:10:04",no,no,no,no
484,-12,"Hable con ella",2002,http://www.icheckmovies.com/movies/hable+con+ella/,12394,1304,74,12,682,"Talk to Her",http://www.imdb.com/title/tt0287467/,"2012-03-14 22:10:17",no,no,no,no
485,5,"Withnail & I",1987,http://www.icheckmovies.com/movies/withnail+and+i/,9050,1011,94,14,552,"Withnail and I",http://www.imdb.com/title/tt0094336/,no,no,no,no,no
486,-18,"Harlan County U.S.A.",1976,http://www.icheckmovies.com/movies/harlan+county+u.s.a./,2198,228,9,13,391,,http://www.imdb.com/title/tt0074605/,no,no,no,no,no
487,-14,"Steamboat Bill, Jr.",1928,http://www.icheckmovies.com/movies/steamboat+bill+jr./,5415,422,17,13,506,,http://www.imdb.com/title/tt0019421/,"2012-03-14 22:10:06",no,no,no,no
488,-33,"La région centrale",1971,http://www.icheckmovies.com/movies/la+region+centrale/,407,25,35,7,238,,http://www.imdb.com/title/tt0130232/,no,no,no,no,no
489,11,"Five Easy Pieces",1970,http://www.icheckmovies.com/movies/five+easy+pieces/,6462,480,50,13,575,,http://www.imdb.com/title/tt0065724/,"2015-03-29 20:55:27",yes,no,no,no
490,-20,"The Palm Beach Story",1942,http://www.icheckmovies.com/movies/the+palm+beach+story/,3134,237,29,14,452,,http://www.imdb.com/title/tt0035169/,no,no,no,no,no
491,-2,Senso,1954,http://www.icheckmovies.com/movies/senso/,1802,97,26,12,388,,http://www.imdb.com/title/tt0047469/,"2012-03-14 22:10:06",no,no,no,no
492,3,"Fight Club",1999,http://www.icheckmovies.com/movies/fight+club/,132955,21467,628,21,1781,,http://www.imdb.com/title/tt0137523/,"2012-03-14 22:10:26",yes,no,no,no
493,-10,"Moartea domnului Lazarescu",2005,http://www.icheckmovies.com/movies/moartea+domnului+lazarescu/,2109,215,18,9,361,"The Death of Mr. Lazarescu",http://www.imdb.com/title/tt0456149/,"2017-10-02 06:37:49",no,no,no,no
494,-14,"Topio stin omihli",1988,http://www.icheckmovies.com/movies/topio+stin+omihli/,1245,190,16,7,376,"Landscape in the Mist",http://www.imdb.com/title/tt0096288/,no,no,no,yes,no
