rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
80,0,"4 luni, 3 saptamâni si 2 zile",2007,http://www.icheckmovies.com/movies/4+luni+3+saptamani+si+2+zile/,7067,860,71,13,602,"4 Months, 3 Weeks and 2 Days",http://www.imdb.com/title/tt1032846/,"2012-03-14 22:10:13",no,no,no,no
81,0,"Entre les murs",2008,http://www.icheckmovies.com/movies/entre+les+murs/,5014,349,41,4,310,"The Class",http://www.imdb.com/title/tt1068646/,"2012-03-14 22:10:05",yes,no,no,no
82,0,"Das weiße Band - Eine deutsche Kindergeschichte",2009,http://www.icheckmovies.com/movies/das+weisse+band+-+eine+deutsche+kindergeschichte/,8817,1032,84,10,658,"The White Ribbon",http://www.imdb.com/title/tt1149362/,"2012-03-14 22:10:09",no,no,no,no
83,0,"Loong Boonmee raleuk chat",2010,http://www.icheckmovies.com/movies/loong+boonmee+raleuk+chat/,3533,266,104,12,493,"Uncle Boonmee Who Can Recall His Past Lives",http://www.imdb.com/title/tt1588895/,"2012-06-01 19:57:38",no,no,no,no
84,0,"The Tree of Life",2011,http://www.icheckmovies.com/movies/the+tree+of+life/,21873,2008,794,13,930,,http://www.imdb.com/title/tt0478304/,"2012-03-14 22:10:05",no,no,no,no
85,0,Amour,2012,http://www.icheckmovies.com/movies/amour-2012/,10147,1027,87,15,824,,http://www.imdb.com/title/tt1602620/,"2013-08-30 06:57:47",no,no,no,no
86,0,"La vie d'Adèle",2013,http://www.icheckmovies.com/movies/la+vie+dadele/,10948,1312,129,13,832,"Blue Is the Warmest Colour",http://www.imdb.com/title/tt2278871/,"2014-06-30 02:28:26",yes,no,no,no
87,0,"Kis Uykusu",2014,http://www.icheckmovies.com/movies/kis+uykusu/,2638,403,26,6,413,"Winter Sleep",http://www.imdb.com/title/tt2758880/,"2015-12-05 03:28:48",no,no,no,no
88,0,Dheepan,2015,http://www.icheckmovies.com/movies/dheepan/,1333,86,26,2,141,,http://www.imdb.com/title/tt4082068/,no,no,no,no,no
89,0,"I, Daniel Blake",2016,http://www.icheckmovies.com/movies/i+daniel+blake/,3226,340,27,5,288,,http://www.imdb.com/title/tt5168192/,"2017-12-17 17:35:54",yes,no,no,no
90,0,"The Square",2017,http://www.icheckmovies.com/movies/the+square-2017/,3587,325,44,5,308,,http://www.imdb.com/title/tt4995790/,"2018-03-07 01:43:27",no,no,no,no
91,0,"Manbiki kazoku",2018,http://www.icheckmovies.com/movies/manbiki+kazoku/,3544,486,12,11,422,Shoplifters,http://www.imdb.com/title/tt8075192/,"2019-03-01 06:47:58",no,no,no,no
92,0,Gisaengchung,2019,http://www.icheckmovies.com/movies/gisaengchung/,14241,2297,40,23,815,Parasite,http://www.imdb.com/title/tt6751668/,"2019-12-29 02:59:23",no,no,no,no
93,0,Titane,2021,http://www.icheckmovies.com/movies/titane-2021/,2092,135,35,6,290,,http://www.imdb.com/title/tt10944760/,"2022-02-11 06:49:07",no,no,no,no
94,0,"Triangle of Sadness",2022,http://www.icheckmovies.com/movies/triangle+of+sadness/,3760,314,53,7,264,,http://www.imdb.com/title/tt7322224/,"2023-01-30 21:43:16",no,no,no,no
95,0,"Anatomie d'une chute",2023,http://www.icheckmovies.com/movies/anatomie+dune+chute/,3200,322,12,10,308,"Anatomy of a Fall",http://www.imdb.com/title/tt17009710/,"2024-02-25 15:32:59",no,no,no,no
96,0,Anora,2024,http://www.icheckmovies.com/movies/anora/,2976,299,35,6,229,,http://www.imdb.com/title/tt28607951/,"2025-01-24 20:25:40",no,no,no,no
97,,"Yek tasadof-e sadeh",2025,http://www.icheckmovies.com/movies/yek+tasadof-e+sadeh/,596,53,1,3,81,"It Was Just an Accident",http://www.imdb.com/title/tt36491653/,no,no,no,no,no
